bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,hour,dayofweek,duration_sec,anomaly
4767917,291520,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,1
4080,11282,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,27,4,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,1
4804723,291088,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,1
4190330,283456,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,1
2015975,79990,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,10,5,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,1
4064,11384,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,27,4,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,1
4758826,289956,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,1
4791678,291275,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,1
18201558,1170896,2024-04-26 08:00:00+00:00,2024-04-26 08:10:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 08:00:00+00:00,0,8,4,600.0,1
18171403,1103358,2024-04-26 08:50:00+00:00,2024-04-26 09:00:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 08:50:00+00:00,0,8,4,600.0,1
18119202,1132321,2024-04-26 09:10:00+00:00,2024-04-26 09:20:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 09:10:00+00:00,0,9,4,600.0,1
18231909,1116695,2024-04-26 09:20:00+00:00,2024-04-26 09:30:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 09:20:00+00:00,0,9,4,600.0,1
24326941,1529035,2024-04-26 09:30:00+00:00,2024-04-26 09:40:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 09:30:00+00:00,0,9,4,600.0,1
25199191,1557598,2024-04-26 09:40:00+00:00,2024-04-26 09:50:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 09:40:00+00:00,0,9,4,600.0,1
25207794,1561220,2024-04-26 09:50:00+00:00,2024-04-26 10:00:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 09:50:00+00:00,0,9,4,600.0,1
