bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,hour,dayofweek,duration_sec,anomaly
5602,12990,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,5,0,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
30912,18186,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,12,6,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
28506,13468,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,8,2,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
30546,14278,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,0,6,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
6526,13892,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,10,5,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
3906,3488,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,2,2,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
17748,29208,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
4767917,291520,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,1
10538,15514,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
9656,6380,2024-04-25 23:00:00+00:00,2024-04-25 23:10:00+00:00,4,1,0,200,443,0,0,0,0,0,2024-04-25 23:00:00+00:00,0,23,3,600.0,0
57208,32874,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,12,6,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
18162,30492,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,1,6,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
28056,4832,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,8,2,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
73752,18924,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,0,6,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
4080,11282,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,27,4,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,1
1968903,38773,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,10,5,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
6958,12854,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,2,2,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
8310,6276,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
4804723,291088,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,1
11820,24620,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
8206,6068,2024-04-25 23:10:00+00:00,2024-04-25 23:20:00+00:00,4,1,0,200,443,0,0,0,0,0,2024-04-25 23:10:00+00:00,0,23,3,600.0,0
29356,17408,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,12,6,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
26178,33801,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,1,6,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
29308,15652,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,9,2,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
60068,12628,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,0,6,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
4043,7629,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,10,5,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
3102,11038,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,13,6,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
8310,6070,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
5528,12010,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
4926,11570,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,4,1,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
7724,6288,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,3,6,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
80,528,2024-04-25 23:20:00+00:00,2024-04-25 23:30:00+00:00,15,6,0,200,443,0,0,0,0,0,2024-04-25 23:20:00+00:00,0,23,3,600.0,0
23048,24124,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,1,6,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
28444,13468,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,8,2,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
5824,11568,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,2,2,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
10474,23244,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
4190330,283456,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,1
5080,11512,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
4220,11672,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,3,6,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
952,668,2024-04-25 23:30:00+00:00,2024-04-25 23:40:00+00:00,15,6,0,200,443,0,0,0,0,0,2024-04-25 23:30:00+00:00,0,23,3,600.0,0
36745,28952,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,12,6,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,0
12068,25589,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,1,6,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,0
57462,20222,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,8,2,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,0
2015975,79990,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,10,5,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,1
4064,11384,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,27,4,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,1
33268,9986,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,2,2,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,0
7424,14656,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,0
4758826,289956,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,1
17736,36370,2024-04-25 23:40:00+00:00,2024-04-25 23:50:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-25 23:40:00+00:00,0,23,3,600.0,0
60686,35910,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,12,6,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
21698,21218,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,1,6,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
28296,7230,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,9,2,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
4721,8322,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,10,5,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
9968,6646,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
4791678,291275,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,1
10768,7248,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
3996,11776,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,4,1,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
4220,11570,2024-04-25 23:50:00+00:00,2024-04-26 00:00:00+00:00,3,6,0,200,443,0,0,0,0,0,2024-04-25 23:50:00+00:00,0,23,3,600.0,0
26354,13404,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,5,0,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
33777,20132,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,12,6,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
28762,43272,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,1,6,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
28478,13260,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,8,2,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
4288,11490,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,27,4,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
8874,14968,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,11,3,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
4793434,292176,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,6,6,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
16948,20348,2024-04-26 00:00:00+00:00,2024-04-26 00:10:00+00:00,7,2,0,200,443,0,0,0,0,0,2024-04-26 00:00:00+00:00,0,0,4,600.0,0
